country,date,phase,counterfactual_version,observed,counterfactual_mean,counterfactual_lower_95,counterfactual_upper_95,gap,observed_above_counterfactual,observed_above_upper_95,counterfactual_exceeds_100,selected_order,selected_seasonal_order
Australia,2022-07-01,COVID_period,logit,84.0,92.01789978922646,77.79219263106262,97.43230303374726,-8.017899789226462,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-08-01,COVID_period,raw,95.0,104.30258628549657,84.71133521207292,123.89383735892022,-9.302586285496574,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-08-01,COVID_period,capped,95.0,100.0,84.71133521207292,100.0,-5.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-08-01,COVID_period,logit,95.0,95.96214735910652,87.5254434729055,98.77347280251071,-0.9621473591065239,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-09-01,COVID_period,raw,90.0,102.43593595699475,82.41914477541809,122.45272713857142,-12.435935956994754,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-09-01,COVID_period,capped,90.0,100.0,82.41914477541809,100.0,-10.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-09-01,COVID_period,logit,90.0,94.61970373839964,83.46699423449888,98.39436220757199,-4.619703738399636,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-10-01,COVID_period,raw,90.0,104.92919579904408,84.4957260069273,125.36266559116086,-14.92919579904408,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-10-01,COVID_period,capped,90.0,100.0,84.4957260069273,100.0,-10.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-10-01,COVID_period,logit,90.0,95.58329412070385,85.80384429021292,98.72641515495367,-5.5832941207038544,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-11-01,COVID_period,raw,81.0,98.38977366171922,77.54795428647236,119.23159303696607,-17.389773661719218,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-11-01,COVID_period,capped,81.0,98.38977366171922,77.54795428647236,100.0,-17.389773661719218,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-11-01,COVID_period,logit,81.0,92.61511664889848,77.32399634927883,97.87845199416337,-11.615116648898479,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-12-01,COVID_period,raw,66.0,89.24116641362397,67.99884592993301,110.48348689731493,-23.241166413623972,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-12-01,COVID_period,capped,66.0,89.24116641362397,67.99884592993301,100.0,-23.241166413623972,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-12-01,COVID_period,logit,66.0,87.04597995163148,64.02434498625846,96.2085648886775,-21.04597995163148,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-01-01,COVID_period,raw,80.0,95.88231396556583,73.8161764554275,117.94845147570416,-15.882313965565828,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-01-01,COVID_period,capped,80.0,95.88231396556583,73.8161764554275,100.0,-15.882313965565828,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-01-01,COVID_period,logit,80.0,90.57851281746707,70.7348612548779,97.45216731951597,-10.578512817467072,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-02-01,COVID_period,raw,82.0,104.79151810347557,82.1320752151535,127.45096099179763,-22.791518103475568,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-02-01,COVID_period,capped,82.0,100.0,82.1320752151535,100.0,-18.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-02-01,COVID_period,logit,82.0,95.04408001386051,82.28620400826483,98.75328148344403,-13.044080013860508,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-03-01,COVID_period,raw,96.0,107.3748489886884,84.17656107911847,130.57313689825833,-11.374848988688399,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-03-01,COVID_period,capped,96.0,100.0,84.17656107911847,100.0,-4.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-03-01,COVID_period,logit,96.0,96.66770907740448,87.1718463827669,99.19955829371686,-0.6677090774044814,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-04-01,COVID_period,raw,92.0,105.67749242558567,81.96085721914648,129.39412763202486,-13.677492425585669,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-04-01,COVID_period,capped,92.0,100.0,81.96085721914648,100.0,-8.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-04-01,COVID_period,logit,92.0,95.12433763421944,81.57190189633084,98.85104605494243,-3.1243376342194438,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-05-01,COVID_period,raw,98.0,107.85740976919807,83.63528354974139,132.07953598865475,-9.857409769198071,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-05-01,COVID_period,capped,98.0,100.0,83.63528354974139,100.0,-2.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-05-01,COVID_period,logit,98.0,95.70218595321515,83.04201334886848,99.02266693123235,2.2978140467848505,1,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-06-01,Post_COVID,raw,88.0,105.5084719865744,80.79157002074385,130.22537395240496,-17.508471986574406,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-06-01,Post_COVID,capped,88.0,100.0,80.79157002074385,100.0,-12.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-06-01,Post_COVID,logit,88.0,95.1641445819631,80.7604358952275,98.9282919984077,-7.1641445819631,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-07-01,Post_COVID,raw,87.0,102.14543984636629,76.94355561677693,127.34732407595564,-15.145439846366287,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-07-01,Post_COVID,capped,87.0,100.0,76.94355561677693,100.0,-13.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-07-01,Post_COVID,logit,87.0,93.75377469912466,75.65365673859296,98.64008971521991,-6.753774699124662,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-08-01,Post_COVID,raw,95.0,109.15379588390175,83.47610535575096,134.83148641205253,-14.15379588390175,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-08-01,Post_COVID,capped,95.0,100.0,83.47610535575096,100.0,-5.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-08-01,Post_COVID,logit,95.0,96.65186439641825,85.30006401004354,99.30910703087912,-1.6518643964182473,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-09-01,Post_COVID,raw,91.0,107.377727297966,81.23289196395247,133.52256263197953,-16.377727297966004,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-09-01,Post_COVID,capped,91.0,100.0,81.23289196395247,100.0,-9.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-09-01,Post_COVID,logit,91.0,95.78419019931157,81.60922143988216,99.148328207485,-4.784190199311567,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-10-01,Post_COVID,raw,93.0,110.00673387371214,83.40295604244893,136.61051170497532,-17.006733873712136,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-10-01,Post_COVID,capped,93.0,100.0,83.40295604244893,100.0,-7.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-10-01,Post_COVID,logit,93.0,96.90618767192515,85.60392438088992,99.39821274257551,-3.906187671925153,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-11-01,Post_COVID,raw,86.0,103.32313219140366,76.26819612411417,130.37806825869316,-17.32313219140366,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-11-01,Post_COVID,capped,86.0,100.0,76.26819612411417,100.0,-14.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-11-01,Post_COVID,logit,86.0,93.99360481699053,74.29021693736904,98.83445502877068,-7.993604816990526,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-12-01,Post_COVID,raw,70.0,93.93221215094337,66.43351883161313,121.43090547027361,-23.93221215094337,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-12-01,Post_COVID,capped,70.0,93.93221215094337,66.43351883161313,100.0,-23.93221215094337,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2023-12-01,Post_COVID,logit,70.0,88.85263652655144,58.88317544289736,97.79621233767267,-18.852636526551436,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-01-01,Post_COVID,raw,79.0,100.86745761596362,72.46860481805474,129.2663104138725,-21.867457615963616,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-01-01,Post_COVID,capped,79.0,100.0,72.46860481805474,100.0,-21.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-01-01,Post_COVID,logit,79.0,92.72085385428508,67.97535967733323,98.70936788477839,-13.720853854285082,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-02-01,Post_COVID,raw,81.0,109.79747716345547,80.74305252383613,138.8519018030748,-28.79747716345547,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-02-01,Post_COVID,capped,81.0,100.0,80.74305252383613,100.0,-19.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-02-01,Post_COVID,logit,81.0,96.20771596973975,80.1228517961835,99.37829308811715,-15.207715969739752,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-03-01,Post_COVID,raw,84.0,112.28232117584425,82.62945726926631,141.93518508242218,-28.282321175844245,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-03-01,Post_COVID,capped,84.0,100.0,82.62945726926631,100.0,-16.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-03-01,Post_COVID,logit,84.0,97.04272332611784,83.34189490795512,99.53824201725176,-13.042723326117837,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-04-01,Post_COVID,raw,93.0,110.73138042419247,80.50091284505245,140.96184800333248,-17.731380424192466,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-04-01,Post_COVID,capped,93.0,100.0,80.50091284505245,100.0,-7.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-04-01,Post_COVID,logit,93.0,96.19160494285022,78.73794667847584,99.42358717584797,-3.191604942850219,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-05-01,Post_COVID,raw,92.0,112.99566482603294,82.20035355549565,143.7909760965702,-20.995664826032936,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2024-05-01,Post_COVID,capped,92.0,100.0,82.20035355549565,100.0,-8.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
