"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2021-09-01",96,31,38,10,27
"2021-10-01",98,38,38,11,30
"2021-11-01",92,38,39,11,26
"2021-12-01",88,31,35,11,22
"2022-01-01",89,35,37,14,30
"2022-02-01",93,36,41,12,35
"2022-03-01",98,34,46,11,39
"2022-04-01",92,35,45,11,42
"2022-05-01",75,36,38,9,21
"2022-06-01",80,28,38,10,28
"2022-07-01",81,12,31,11,21
"2022-08-01",83,11,31,13,24
"2022-09-01",83,11,37,11,23
"2022-10-01",88,13,38,11,30
"2022-11-01",88,12,39,11,29
"2022-12-01",82,14,36,11,25
"2023-01-01",95,13,35,14,26
"2023-02-01",90,13,39,13,30
"2023-03-01",100,12,21,12,25
"2023-04-01",89,10,19,10,25
"2023-05-01",85,9,14,10,24
"2023-06-01",84,8,23,10,21
"2023-07-01",82,9,23,10,16
"2023-08-01",87,7,25,11,15
"2023-09-01",87,10,32,12,20
"2023-10-01",92,11,34,12,24
"2023-11-01",91,11,32,11,26
"2023-12-01",86,10,26,12,19
"2024-01-01",90,10,21,13,21
"2024-02-01",90,10,25,12,21
"2024-03-01",91,10,18,12,20
"2024-04-01",96,11,19,11,21
"2024-05-01",80,9,20,10,17
"2024-06-01",79,9,18,9,15
"2024-07-01",80,9,13,10,13
"2024-08-01",84,8,20,12,13
"2024-09-01",89,9,28,11,14
"2024-10-01",91,10,33,11,16
"2024-11-01",88,11,29,11,17
"2024-12-01",80,9,38,11,14
"2025-01-01",89,9,44,13,14
"2025-02-01",85,10,32,12,15
"2025-03-01",95,10,30,11,15
"2025-04-01",82,11,10,9,15
"2025-05-01",79,10,6,9,14
"2025-06-01",77,11,6,10,12
"2025-07-01",75,10,5,10,11
"2025-08-01",75,8,4,10,10
"2025-09-01",79,11,6,10,12
"2025-10-01",75,9,7,11,13
"2025-11-01",86,15,10,12,14
"2025-12-01",80,13,11,12,14
